gid,funcs
1901,"['GO:0008152', 'GO:0009987']"
1902,"['GO:0008152', 'GO:0009987']"
1903,"['GO:0051179', 'GO:0009987']"
1906,"['GO:0051179', 'GO:0009987']"
1909,['GO:0065007']
1912,"['GO:0008152', 'GO:0009987']"
1913,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
1923,['GO:0009987']
1926,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1927,"['GO:0008152', 'GO:0009987']"
1930,"['GO:0040011', 'GO:0032502', 'GO:0009987']"
1932,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
1935,"['GO:0051179', 'GO:0009987']"
1944,['GO:0009987']
1945,['GO:0065007']
1953,['GO:0008152']
1958,"['GO:0044419', 'GO:0002376', 'GO:0050896']"
1966,['GO:0008152']
1967,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
1975,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1976,"['GO:0051179', 'GO:0009987']"
1977,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
1978,"['GO:0008152', 'GO:0009987']"
1986,"['GO:0008152', 'GO:0009987']"
1993,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
2000,"['GO:0051179', 'GO:0009987']"
2001,"['GO:0008152', 'GO:0009987']"
2002,"['GO:0051179', 'GO:0009987']"
2018,"['GO:0008152', 'GO:0009987']"
2019,"['GO:0008152', 'GO:0009987']"
2026,"['GO:0008152', 'GO:0009987']"
2029,"['GO:0009987', 'GO:0065007']"
2036,['GO:0065007']
2040,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
2042,['GO:0065007']
2045,"['GO:0008152', 'GO:0009987']"
2047,"['GO:0051179', 'GO:0009987']"
2050,"['GO:0008152', 'GO:0009987']"
2051,"['GO:0008152', 'GO:0009987']"
2054,"['GO:0051179', 'GO:0009987']"
2055,"['GO:0008152', 'GO:0009987']"
2062,['GO:0065007']
2069,"['GO:0008152', 'GO:0009987']"
2073,"['GO:0051179', 'GO:0009987']"
2076,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
2083,"['GO:0009987', 'GO:0065007']"
2095,"['GO:0008152', 'GO:0009987']"
2098,"['GO:0008152', 'GO:0009987']"
2101,"['GO:0008152', 'GO:0009987']"
2111,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
2121,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
2125,['GO:0009987']
2132,"['GO:0008152', 'GO:0009987']"
2136,"['GO:0008152', 'GO:0009987']"
2141,['GO:0009987']
2156,"['GO:0008152', 'GO:0009987']"
2158,"['GO:0008152', 'GO:0009987']"
2162,"['GO:0065007', 'GO:0009987']"
2163,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
2164,"['GO:0008152', 'GO:0009987']"
2165,"['GO:0051179', 'GO:0009987']"
2170,"['GO:0051179', 'GO:0009987']"
2174,['GO:0065007']
